                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.53746,                 0.5782,                0.83754,                0.59713,                0.55097,                0.58222,                0.52095,                0.56623,                 1.3205,                0.94044,                0.00406,                0.00406,                0.00406
                     92,                0.53753,                0.57072,                0.83537,                0.53829,                0.60947,                0.58257,                0.52118,                0.56637,                 1.3277,                 0.9411,               0.003994,               0.003994,               0.003994
                     93,                0.54041,                0.55942,                0.83939,                0.55723,                0.58626,                0.58268,                0.52122,                 0.5666,                 1.3299,                0.94142,               0.003928,               0.003928,               0.003928
                     94,                0.53688,                0.55868,                0.83723,                0.56514,                0.58551,                0.58323,                0.52128,                0.56731,                 1.3338,                0.94228,               0.003862,               0.003862,               0.003862
                     95,                0.53905,                0.56165,                0.83869,                0.56823,                0.58748,                 0.5826,                0.52046,                0.56652,                 1.3304,                0.94205,               0.003796,               0.003796,               0.003796
                     96,                0.53015,                0.54794,                0.83458,                 0.5712,                0.58888,                0.58243,                 0.5205,                0.56551,                 1.3384,                0.94067,                0.00373,                0.00373,                0.00373
                     97,                0.52735,                0.55007,                0.83294,                0.57093,                 0.5921,                0.58212,                0.52049,                0.56539,                 1.3445,                0.94107,               0.003664,               0.003664,               0.003664
                     98,                0.52492,                0.52667,                0.83227,                0.56884,                0.58875,                0.58194,                0.52076,                0.56498,                 1.3493,                0.94142,               0.003598,               0.003598,               0.003598
                     99,                0.52335,                0.52662,                0.83217,                0.57079,                0.58306,                0.58081,                0.52062,                0.56476,                 1.3571,                 0.9419,               0.003532,               0.003532,               0.003532
                    100,                0.52384,                0.52099,                0.83357,                0.56989,                0.58121,                0.58033,                0.51925,                0.56458,                 1.3538,                 0.9423,               0.003466,               0.003466,               0.003466
                    101,                0.53044,                 0.5202,                0.83045,                0.57105,                0.57887,                0.57993,                0.51945,                0.56501,                 1.3561,                0.94283,                 0.0034,                 0.0034,                 0.0034
                    102,                 0.5139,                0.50581,                0.83062,                0.55969,                0.59086,                0.57939,                0.51863,                 0.5645,                 1.3506,                0.94324,               0.003334,               0.003334,               0.003334
